Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Delivery Length,Delivery Line,Shot Type
Shaheen Shah Afridi,Martin Guptill,Length (6-9 m),On the leg stump,Straight drive
Shaheen Shah Afridi,Martin Guptill,Full length(5-6 m),Outside off,Cover drive
Shaheen Shah Afridi,Martin Guptill,Good length(6-8 m),On the stump,Unknown
Shaheen Shah Afridi,Martin Guptill,Short (>9 m),Unknown,Pull
Shaheen Shah Afridi,Tim Seifert,Good length(6-8 m),Outside off,Cover drive
Shaheen Shah Afridi,Tim Seifert,Good length(6-8 m),On the stump,Forward defence
Mohammad Hasnain,Martin Guptill,Short (>9 m),Outside off,Unknown
Mohammad Hasnain,Tim Seifert,Full length(5-6 m),On the leg stump,Forward defence
Mohammad Hasnain,Tim Seifert,Short (>9 m),Outside off,Unknown
Mohammad Hasnain,Tim Seifert,Back of a length(8-9 m),On middle stump,Unknown
Mohammad Hasnain,Tim Seifert,Length (6-9 m),Outside off,Unknown
Mohammad Hasnain,Tim Seifert,Short (>9 m),Outside off,Cut
Shaheen Shah Afridi,Martin Guptill,Short (>9 m),On the leg stump,Pull
Shaheen Shah Afridi,Tim Seifert,Full length(5-6 m),On middle stump,lofted drive
Shaheen Shah Afridi,Tim Seifert,Length (6-9 m),On the leg stump,Flick
Shaheen Shah Afridi,Martin Guptill,Good length(6-8 m),On the off Stump,Forward defence
Shaheen Shah Afridi,Martin Guptill,Good length(6-8 m),Unknown,Unknown
Shaheen Shah Afridi,Martin Guptill,Unknown,Unknown,Unknown
Mohammad Hasnain,Martin Guptill,Good length(6-8 m),Outside off,Unknown
Mohammad Hasnain,Martin Guptill,Short (>9 m),Outside off,Flick
Mohammad Hasnain,Martin Guptill,Short (>9 m),Down the leg side,Unknown
Mohammad Hasnain,Martin Guptill,Short (>9 m),On the off Stump,Flick
Mohammad Hasnain,Tim Seifert,Short (>9 m),Outside off,Unknown
Mohammad Hasnain,Tim Seifert,Short (>9 m),Outside off,Unknown
Haris Rauf,Martin Guptill,Full length(5-6 m),On the off Stump,Unknown
Haris Rauf,Martin Guptill,Full length(5-6 m),On the leg stump,Unknown
Haris Rauf,Martin Guptill,Short (>9 m),Outside off,Pull
Haris Rauf,Kane Williamson,Full length(5-6 m),On the off Stump,Forward defence
Haris Rauf,Tim Seifert,Length (6-9 m),On the off Stump,Straight drive
Haris Rauf,Tim Seifert,Full length(5-6 m),Unknown,Unknown
Faheem Ashraf,Kane Williamson,Short (>9 m),Outside off,Unknown
Faheem Ashraf,Kane Williamson,Short (>9 m),Unknown,Unknown
Faheem Ashraf,Kane Williamson,Back of a length(8-9 m),Outside off,Cut
Faheem Ashraf,Devon Conway,Short (>9 m),Outside off,Unknown
Faheem Ashraf,Devon Conway,Full length(5-6 m),Unknown,Forward defence
Faheem Ashraf,Tim Seifert,Short (>9 m),Wide on the off side,Unknown
Shadab Khan,Tim Seifert,Unknown,On the off Stump,Forward defence
Shadab Khan,Tim Seifert,Unknown,Outside off,Sweep
Shadab Khan,Tim Seifert,"Shadab Khan to Seifert, 1 run, fraction short and turning away, Seifert cracks it to sweeper cover",Outside off,Unknown
Shadab Khan,Devon Conway,Good length(6-8 m),On the off Stump,Unknown
Shadab Khan,Tim Seifert,Short (>9 m),Outside off,Straight drive
Shadab Khan,Tim Seifert,Full length(5-6 m),On Middle stump,Unknown
Faheem Ashraf,Devon Conway,Full length(5-6 m),Outside off,Unknown
Faheem Ashraf,Tim Seifert,Good length(6-8 m),On the off Stump,Cut
Faheem Ashraf,Glenn Phillips,Full length(5-6 m),On the off Stump,Unknown
Faheem Ashraf,Glenn Phillips,Unknown,On the stump,Unknown
Faheem Ashraf,Devon Conway,Full length(5-6 m),Outside off,Unknown
Faheem Ashraf,Glenn Phillips,Good length(6-8 m),On the off Stump,Unknown
Shadab Khan,Glenn Phillips,Unknown,Outside off,Unknown
Shadab Khan,Glenn Phillips,Unknown,Unknown,Straight drive
Shadab Khan,Glenn Phillips,Unknown,Unknown,Sweep
Shadab Khan,Glenn Phillips,Length (6-9 m),On the leg stump,Unknown
Shadab Khan,Devon Conway,Full Toss (<0 m),Unknown,Sweep
Shadab Khan,Devon Conway,Full length(5-6 m),Unknown,Unknown
Faheem Ashraf,Devon Conway,Good length(6-8 m),On the off Stump,Unknown
Faheem Ashraf,Devon Conway,Unknown,Unknown,Unknown
Faheem Ashraf,Devon Conway,Back of a length(8-9 m),Outside off,Unknown
Faheem Ashraf,Glenn Phillips,Back of a length(8-9 m),Outside off,Unknown
Faheem Ashraf,Glenn Phillips,Short (>9 m),Wide on the off side,Unknown
Faheem Ashraf,Devon Conway,Short (>9 m),Unknown,Pull
Shadab Khan,Devon Conway,Unknown,Unknown,Sweep
Shadab Khan,Devon Conway,Short (>9 m),On middle stump,Unknown
Shadab Khan,Glenn Phillips,Unknown,Outside off,Cut
Shadab Khan,Devon Conway,Full Toss (<0 m),Unknown,Unknown
Shadab Khan,Devon Conway,Full length(5-6 m),On middle stump,Unknown
Shadab Khan,Devon Conway,Unknown,Outside off,Unknown
Haris Rauf,Devon Conway,Short (>9 m),Unknown,Pull
Haris Rauf,Glenn Phillips,Short (>9 m),Unknown,Pull
Haris Rauf,Devon Conway,Full length(5-6 m),Outside off,Unknown
Haris Rauf,Glenn Phillips,Full length(5-6 m),On middle stump,Unknown
Haris Rauf,Devon Conway,Good length(6-8 m),Unknown,Unknown
Haris Rauf,Glenn Phillips,Short (>9 m),Outside off,Unknown
Shadab Khan,Devon Conway,Full Toss (<0 m),Unknown,Unknown
Shadab Khan,Glenn Phillips,Short (>9 m),Outside off,Cut
Shadab Khan,Glenn Phillips,Full length(5-6 m),On middle stump,Unknown
Shadab Khan,Devon Conway,Short (>9 m),Unknown,Back foot drive
Shadab Khan,Glenn Phillips,Unknown,Unknown,Cut
Shadab Khan,Glenn Phillips,Unknown,Unknown,Pull
Mohammad Hasnain,Devon Conway,Short (>9 m),Unknown,Flick
Mohammad Hasnain,Glenn Phillips,Good length(6-8 m),On the stump,Cut
Mohammad Hasnain,Devon Conway,Short (>9 m),Outside off,Cut
Mohammad Hasnain,Devon Conway,Unknown,Unknown,Pull
Mohammad Hasnain,Devon Conway,Back of a length(8-9 m),Unknown,Unknown
Mohammad Hasnain,Glenn Phillips,Good length(6-8 m),Unknown,Pull
Shaheen Shah Afridi,Glenn Phillips,Full length(5-6 m),On middle stump,Unknown
Shaheen Shah Afridi,Devon Conway,Half-volley(<5 m),Wide on the off side,Unknown
Shaheen Shah Afridi,Devon Conway,Unknown,Unknown,Unknown
Shaheen Shah Afridi,Devon Conway,Short (>9 m),On the stump,Pull
Shaheen Shah Afridi,James Neesham,Back of a length(8-9 m),,Unknown
Shaheen Shah Afridi,Devon Conway,Short (>9 m),Wide on the off side,Cut
Mohammad Hasnain,Devon Conway,Full Toss (<0 m),Unknown,Unknown
Mohammad Hasnain,Devon Conway,Good length(6-8 m),Unknown,Unknown
Mohammad Hasnain,Devon Conway,Short (>9 m),Unknown,Pull
Mohammad Hasnain,Devon Conway,Full length(5-6 m),On middle stump,Unknown
Mohammad Hasnain,Devon Conway,Back of a length(8-9 m),Outside off,Unknown
Mohammad Hasnain,James Neesham,Good length(6-8 m),Unknown,Unknown
Faheem Ashraf,James Neesham,Short (>9 m),Unknown,Pull
Faheem Ashraf,James Neesham,Unknown,Wide on the off side,Unknown
Faheem Ashraf,Devon Conway,Good length(6-8 m),On the stump,Pull
Faheem Ashraf,Scott Kuggeleijn,Unknown,On the stump,Pull
Faheem Ashraf,Devon Conway,Short (>9 m),Outside off,Unknown
Faheem Ashraf,Scott Kuggeleijn,Yorker (0-2 m),Outside off,Pull
Haris Rauf,Devon Conway,Full Toss (<0 m),On middle stump,Unknown
Haris Rauf,Devon Conway,Good length(6-8 m),Outside off,Unknown
Haris Rauf,Devon Conway,Half-volley(<5 m),On the stump,Flick
Haris Rauf,Devon Conway,Good length(6-8 m),On the off Stump,Unknown
Haris Rauf,Scott Kuggeleijn,Yorker (0-2 m),On the leg stump,Flick
Haris Rauf,Devon Conway,Unknown,Unknown,Unknown